ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to
TCK0285,Low,Closed,Network,Login Issue,Login Issue reported by user.,2024-08-18,2024-08-27,Ayesha
TCK0286,Low,Closed,Access,Access Denied,Access Denied reported by user.,2024-01-01,2024-01-01,Omar
TCK0287,Low,Open,Software,Password Reset,Password Reset reported by user.,2024-09-18,,Mike
TCK0288,Low,Open,Database,Password Reset,Password Reset reported by user.,2024-10-02,,Unassigned
TCK0289,Low,Resolved,Software,Login Issue,Login Issue reported by user.,2024-12-17,2024-12-19,Mike
TCK0290,Critical,In Progress,Software,Password Reset,Password Reset reported by user.,2024-03-08,,Sara
TCK0291,High,In Progress,Database,Access Denied,Access Denied reported by user.,2024-04-04,,John
TCK0292,High,Closed,Access,Password Reset,Password Reset reported by user.,2024-03-13,2024-03-13,Unassigned
TCK0293,Low,Resolved,Security,Slow Performance,Slow Performance reported by user.,2024-01-31,2024-02-03,Unassigned
TCK0294,Critical,Resolved,Network,Access Denied,Access Denied reported by user.,2024-12-19,2024-12-28,Unassigned
TCK0295,Critical,Open,Hardware,Password Reset,Password Reset reported by user.,2024-07-21,,Omar
TCK0296,High,In Progress,Hardware,System Crash,System Crash reported by user.,2024-02-26,,Ayesha
TCK0297,Critical,Closed,Database,Access Denied,Access Denied reported by user.,2024-09-05,2024-09-09,Sara
TCK0298,Medium,Closed,Software,System Crash,System Crash reported by user.,2024-10-21,2024-10-31,Sara
TCK0299,High,Resolved,Database,Password Reset,Password Reset reported by user.,2024-05-31,2024-06-10,Sara
TCK0300,Critical,Open,Network,Login Issue,Login Issue reported by user.,2024-12-28,,Unassigned
TCK0301,Critical,Open,Hardware,Slow Performance,Slow Performance reported by user.,2024-07-10,,John
TCK0302,High,In Progress,Network,Access Denied,Access Denied reported by user.,2024-04-12,,Mike
TCK0303,Medium,In Progress,Software,Slow Performance,Slow Performance reported by user.,2024-05-25,,Unassigned
TCK0304,Medium,In Progress,Access,System Crash,System Crash reported by user.,2024-09-08,,John
TCK0305,Medium,In Progress,Database,System Crash,System Crash reported by user.,2024-12-26,,Fatima
TCK0306,High,Resolved,Database,Access Denied,Access Denied reported by user.,2024-11-07,2024-11-14,Omar
TCK0307,High,Closed,Security,Login Issue,Login Issue reported by user.,2024-11-28,2024-11-30,Sara
TCK0308,Critical,Open,Hardware,Slow Performance,Slow Performance reported by user.,2024-12-15,,John
TCK0309,Medium,Closed,Software,Login Issue,Login Issue reported by user.,2024-04-11,2024-04-19,Unassigned
TCK0310,Medium,Open,Database,Access Denied,Access Denied reported by user.,2024-06-11,,John
TCK0311,High,In Progress,Security,Slow Performance,Slow Performance reported by user.,2024-12-28,,Sara
TCK0312,Medium,Open,Software,Password Reset,Password Reset reported by user.,2024-01-09,,Sara
TCK0313,Medium,Resolved,Access,Network Down,Network Down reported by user.,2024-08-27,2024-09-03,Unassigned
TCK0314,Medium,Closed,Hardware,System Crash,System Crash reported by user.,2024-11-07,2024-11-14,Ayesha
TCK0315,Critical,Resolved,Access,Network Down,Network Down reported by user.,2024-08-16,2024-08-18,Unassigned
TCK0316,Low,Closed,Security,System Crash,System Crash reported by user.,2024-02-14,2024-02-24,John
TCK0317,Critical,In Progress,Security,Slow Performance,Slow Performance reported by user.,2024-02-05,,Sara
TCK0318,Critical,Resolved,Security,Network Down,Network Down reported by user.,2024-01-02,2024-01-06,Ayesha
TCK0319,Medium,In Progress,Hardware,Access Denied,Access Denied reported by user.,2024-09-16,,Omar
TCK0320,High,In Progress,Access,Login Issue,Login Issue reported by user.,2024-04-16,,John
TCK0321,Critical,Open,Hardware,Network Down,Network Down reported by user.,2024-08-24,,Omar
TCK0322,High,Resolved,Network,Slow Performance,Slow Performance reported by user.,2024-06-18,2024-06-23,Sara
TCK0323,Medium,Closed,Hardware,Slow Performance,Slow Performance reported by user.,2024-04-12,2024-04-17,Mike
TCK0324,Critical,Closed,Security,Network Down,Network Down reported by user.,2024-01-20,2024-01-24,Ayesha
TCK0325,Medium,Resolved,Access,Network Down,Network Down reported by user.,2024-12-14,2024-12-17,Sara
TCK0326,Low,Resolved,Database,System Crash,System Crash reported by user.,2024-08-26,2024-08-27,John
TCK0327,High,In Progress,Network,Password Reset,Password Reset reported by user.,2024-04-12,,John
TCK0328,Medium,Closed,Software,Network Down,Network Down reported by user.,2024-06-26,2024-07-05,Fatima
TCK0329,Critical,Closed,Network,Network Down,Network Down reported by user.,2024-06-14,2024-06-20,John
TCK0330,Low,In Progress,Hardware,System Crash,System Crash reported by user.,2024-02-16,,Ayesha
TCK0331,High,Open,Hardware,Access Denied,Access Denied reported by user.,2024-12-07,,Fatima
TCK0332,Low,Open,Database,Network Down,Network Down reported by user.,2024-05-07,,Fatima
TCK0333,Critical,Resolved,Network,Password Reset,Password Reset reported by user.,2024-05-01,2024-05-03,Fatima
TCK0334,Low,Closed,Network,System Crash,System Crash reported by user.,2024-03-03,2024-03-03,Omar
TCK0335,High,Closed,Software,Login Issue,Login Issue reported by user.,2024-11-03,2024-11-04,Ayesha
TCK0336,Critical,Open,Database,Slow Performance,Slow Performance reported by user.,2024-04-09,,Sara
TCK0337,Low,Closed,Network,Password Reset,Password Reset reported by user.,2024-04-07,2024-04-07,John
TCK0338,High,Open,Software,Access Denied,Access Denied reported by user.,2024-09-29,,Mike
TCK0339,Critical,Closed,Database,Access Denied,Access Denied reported by user.,2024-02-15,2024-02-16,Unassigned
TCK0340,Low,In Progress,Security,Slow Performance,Slow Performance reported by user.,2024-07-02,,Omar
TCK0341,Critical,Open,Database,Access Denied,Access Denied reported by user.,2024-12-14,,John
TCK0342,Critical,Closed,Software,Network Down,Network Down reported by user.,2024-08-15,2024-08-20,John
TCK0343,High,Resolved,Security,Slow Performance,Slow Performance reported by user.,2024-04-01,2024-04-06,Sara
TCK0344,Critical,In Progress,Security,Slow Performance,Slow Performance reported by user.,2024-08-13,,Unassigned
TCK0345,Low,In Progress,Security,Password Reset,Password Reset reported by user.,2024-04-14,,Ayesha
TCK0346,Low,Open,Network,Access Denied,Access Denied reported by user.,2024-12-11,,Mike
TCK0347,Low,In Progress,Hardware,Login Issue,Login Issue reported by user.,2024-08-05,,Mike
TCK0348,Low,In Progress,Security,Login Issue,Login Issue reported by user.,2024-05-08,,John
TCK0349,Critical,Resolved,Access,Password Reset,Password Reset reported by user.,2024-05-02,2024-05-08,Unassigned
TCK0350,High,In Progress,Network,Network Down,Network Down reported by user.,2024-01-15,,Mike
TCK0351,Medium,Closed,Hardware,System Crash,System Crash reported by user.,2024-04-26,2024-04-29,Ayesha
TCK0352,High,Closed,Database,Slow Performance,Slow Performance reported by user.,2024-05-09,2024-05-13,Omar
TCK0353,Medium,Open,Hardware,Slow Performance,Slow Performance reported by user.,2024-01-15,,Omar
TCK0354,Medium,Resolved,Hardware,Network Down,Network Down reported by user.,2024-03-13,2024-03-19,Omar
TCK0355,Critical,Resolved,Hardware,Password Reset,Password Reset reported by user.,2024-08-02,2024-08-05,Omar
TCK0356,Low,Resolved,Security,Access Denied,Access Denied reported by user.,2024-03-29,2024-04-01,Sara
TCK0357,Medium,Open,Security,System Crash,System Crash reported by user.,2024-05-27,,Unassigned
TCK0358,Critical,In Progress,Security,Network Down,Network Down reported by user.,2024-03-05,,Mike
TCK0359,Low,Closed,Hardware,Slow Performance,Slow Performance reported by user.,2024-10-03,2024-10-07,Unassigned
TCK0360,Critical,Closed,Hardware,Network Down,Network Down reported by user.,2024-10-08,2024-10-08,Ayesha
TCK0361,Critical,In Progress,Security,Password Reset,Password Reset reported by user.,2024-12-10,,Sara
TCK0362,High,Resolved,Security,Slow Performance,Slow Performance reported by user.,2024-06-16,2024-06-26,John
TCK0363,Critical,Open,Database,System Crash,System Crash reported by user.,2024-01-23,,Mike
TCK0364,Medium,Closed,Hardware,Access Denied,Access Denied reported by user.,2024-12-15,2024-12-23,Mike
TCK0365,High,Closed,Access,Network Down,Network Down reported by user.,2024-07-03,2024-07-12,Omar
TCK0366,Medium,Resolved,Database,Password Reset,Password Reset reported by user.,2024-07-28,2024-07-31,Mike
TCK0367,Critical,Open,Security,Access Denied,Access Denied reported by user.,2024-02-17,,Unassigned
TCK0368,Medium,In Progress,Database,Login Issue,Login Issue reported by user.,2024-07-11,,Ayesha
TCK0369,Low,In Progress,Software,Password Reset,Password Reset reported by user.,2024-02-01,,Fatima
TCK0370,Critical,Resolved,Access,Access Denied,Access Denied reported by user.,2024-10-17,2024-10-17,Ayesha
TCK0371,Low,Resolved,Network,Network Down,Network Down reported by user.,2024-05-19,2024-05-22,Mike
TCK0372,Critical,In Progress,Database,Password Reset,Password Reset reported by user.,2024-09-04,,Fatima
TCK0373,High,In Progress,Access,Slow Performance,Slow Performance reported by user.,2024-01-16,,Unassigned
TCK0374,Critical,Open,Software,Network Down,Network Down reported by user.,2024-02-24,,Omar
TCK0375,Medium,Open,Access,Slow Performance,Slow Performance reported by user.,2024-04-02,,Omar
TCK0376,Low,Resolved,Database,Password Reset,Password Reset reported by user.,2024-05-15,2024-05-21,Unassigned
TCK0377,Low,In Progress,Database,Network Down,Network Down reported by user.,2024-01-28,,Fatima
TCK0378,High,Resolved,Database,Password Reset,Password Reset reported by user.,2024-09-02,2024-09-12,Mike
TCK0379,Low,Resolved,Database,Network Down,Network Down reported by user.,2024-09-22,2024-10-01,Sara
TCK0380,Low,Resolved,Database,Password Reset,Password Reset reported by user.,2024-12-08,2024-12-09,Omar
TCK0381,Medium,Open,Database,Login Issue,Login Issue reported by user.,2024-01-22,,Ayesha
TCK0382,High,Closed,Security,Access Denied,Access Denied reported by user.,2024-04-28,2024-05-06,John
TCK0383,Low,In Progress,Software,Slow Performance,Slow Performance reported by user.,2024-02-10,,Fatima
TCK0384,Low,Resolved,Access,Network Down,Network Down reported by user.,2024-05-06,2024-05-07,Mike
TCK0385,Medium,Closed,Security,Slow Performance,Slow Performance reported by user.,2024-12-01,2024-12-01,Ayesha
TCK0386,Critical,Resolved,Network,System Crash,System Crash reported by user.,2024-06-19,2024-06-27,Omar
TCK0387,Critical,Closed,Network,Network Down,Network Down reported by user.,2024-09-02,2024-09-04,Ayesha
TCK0388,Critical,In Progress,Network,Slow Performance,Slow Performance reported by user.,2024-08-18,,Ayesha
TCK0389,Critical,In Progress,Network,Network Down,Network Down reported by user.,2024-05-02,,Sara
TCK0390,Critical,Closed,Database,Password Reset,Password Reset reported by user.,2024-03-17,2024-03-24,Fatima
TCK0391,Critical,Open,Database,Password Reset,Password Reset reported by user.,2024-05-24,,Mike
TCK0392,Low,Open,Access,Slow Performance,Slow Performance reported by user.,2024-08-21,,Fatima
TCK0393,Medium,Open,Database,Network Down,Network Down reported by user.,2024-02-06,,Mike
TCK0394,Low,In Progress,Access,System Crash,System Crash reported by user.,2024-10-22,,Unassigned
TCK0395,Low,Closed,Software,Network Down,Network Down reported by user.,2024-09-02,2024-09-06,Omar
TCK0396,Low,In Progress,Software,Network Down,Network Down reported by user.,2024-10-17,,Unassigned
TCK0397,Low,Open,Security,Login Issue,Login Issue reported by user.,2024-07-13,,Ayesha
TCK0398,Low,Open,Security,Access Denied,Access Denied reported by user.,2024-02-18,,Fatima
TCK0399,Medium,Resolved,Access,Slow Performance,Slow Performance reported by user.,2024-05-30,2024-05-31,Mike
TCK0400,High,Open,Security,Network Down,Network Down reported by user.,2024-11-06,,Ayesha
TCK0401,Critical,In Progress,Network,Password Reset,Password Reset reported by user.,2024-02-21,,Mike
TCK0402,Critical,Closed,Access,System Crash,System Crash reported by user.,2024-02-23,2024-02-26,Fatima
TCK0403,High,Closed,Security,Login Issue,Login Issue reported by user.,2024-07-26,2024-08-03,Mike
TCK0404,Low,In Progress,Access,Slow Performance,Slow Performance reported by user.,2024-01-24,,Unassigned
TCK0405,Medium,Resolved,Network,System Crash,System Crash reported by user.,2024-12-28,2025-01-07,John
TCK0406,Critical,Resolved,Database,Login Issue,Login Issue reported by user.,2024-05-24,2024-05-31,Unassigned
TCK0407,High,Open,Access,Login Issue,Login Issue reported by user.,2024-09-27,,John
TCK0408,Critical,Closed,Access,System Crash,System Crash reported by user.,2024-04-13,2024-04-17,Ayesha
TCK0409,Medium,Open,Database,Access Denied,Access Denied reported by user.,2024-01-19,,John
TCK0410,High,Closed,Access,Password Reset,Password Reset reported by user.,2024-12-11,2024-12-12,Mike
TCK0411,High,Open,Network,Password Reset,Password Reset reported by user.,2024-03-05,,Unassigned
TCK0412,Low,Resolved,Database,Access Denied,Access Denied reported by user.,2024-11-26,2024-12-06,Mike
TCK0413,Critical,Resolved,Network,Access Denied,Access Denied reported by user.,2024-06-20,2024-06-21,Fatima
TCK0414,Medium,Resolved,Access,Slow Performance,Slow Performance reported by user.,2024-08-01,2024-08-07,Sara
TCK0415,Low,Resolved,Hardware,Network Down,Network Down reported by user.,2024-04-03,2024-04-03,John
TCK0416,High,Open,Security,Slow Performance,Slow Performance reported by user.,2024-08-16,,Ayesha
TCK0417,Medium,Closed,Network,Password Reset,Password Reset reported by user.,2024-01-07,2024-01-09,Mike
TCK0418,High,In Progress,Database,Login Issue,Login Issue reported by user.,2024-03-29,,Omar
TCK0419,Medium,In Progress,Software,Slow Performance,Slow Performance reported by user.,2024-03-27,,Mike
TCK0420,Medium,Closed,Hardware,Password Reset,Password Reset reported by user.,2024-05-19,2024-05-20,John
TCK0421,Critical,Open,Access,Access Denied,Access Denied reported by user.,2024-04-01,,Fatima
TCK0422,Medium,In Progress,Hardware,Login Issue,Login Issue reported by user.,2024-12-01,,Mike
TCK0423,Medium,In Progress,Database,Network Down,Network Down reported by user.,2024-07-16,,Ayesha
TCK0424,Low,Closed,Network,Login Issue,Login Issue reported by user.,2024-09-14,2024-09-14,Mike
TCK0425,Critical,Open,Access,Network Down,Network Down reported by user.,2024-11-15,,John
TCK0426,Critical,Open,Access,Access Denied,Access Denied reported by user.,2024-12-18,,Ayesha
TCK0427,Medium,Open,Security,System Crash,System Crash reported by user.,2024-02-23,,Fatima
TCK0428,High,Open,Hardware,Login Issue,Login Issue reported by user.,2024-03-06,,Mike
TCK0429,Medium,Open,Access,Login Issue,Login Issue reported by user.,2024-12-06,,Unassigned
TCK0430,Critical,In Progress,Access,Slow Performance,Slow Performance reported by user.,2024-10-27,,Ayesha
TCK0431,Medium,In Progress,Database,Login Issue,Login Issue reported by user.,2024-08-14,,Ayesha
TCK0432,Low,Open,Hardware,Network Down,Network Down reported by user.,2024-03-20,,Mike
TCK0433,High,Closed,Hardware,Password Reset,Password Reset reported by user.,2024-10-01,2024-10-07,Ayesha
TCK0434,High,Open,Software,Password Reset,Password Reset reported by user.,2024-10-17,,John
TCK0435,Medium,Open,Security,Password Reset,Password Reset reported by user.,2024-04-11,,John
TCK0436,Medium,Open,Software,Password Reset,Password Reset reported by user.,2024-07-17,,Mike
TCK0437,Low,In Progress,Hardware,Access Denied,Access Denied reported by user.,2024-02-19,,Sara
TCK0438,Low,Resolved,Software,Password Reset,Password Reset reported by user.,2024-04-17,2024-04-21,Ayesha
TCK0439,High,Resolved,Hardware,Access Denied,Access Denied reported by user.,2024-07-05,2024-07-10,Omar
TCK0440,Medium,Resolved,Access,Access Denied,Access Denied reported by user.,2024-04-30,2024-05-06,Mike
TCK0441,Medium,Resolved,Database,Access Denied,Access Denied reported by user.,2024-03-26,2024-04-04,Ayesha
TCK0442,High,Resolved,Network,Access Denied,Access Denied reported by user.,2024-05-01,2024-05-02,Unassigned
TCK0443,Critical,Closed,Access,Password Reset,Password Reset reported by user.,2024-01-25,2024-01-30,Unassigned
TCK0444,Critical,Closed,Hardware,Login Issue,Login Issue reported by user.,2024-08-15,2024-08-20,Ayesha
TCK0445,Medium,Open,Database,Network Down,Network Down reported by user.,2024-10-16,,Unassigned
TCK0446,Medium,Open,Software,System Crash,System Crash reported by user.,2024-03-12,,Fatima
TCK0447,Critical,Open,Access,Password Reset,Password Reset reported by user.,2024-07-02,,Sara
TCK0448,High,Resolved,Access,Login Issue,Login Issue reported by user.,2024-10-27,2024-10-31,Omar
TCK0449,High,Closed,Security,Access Denied,Access Denied reported by user.,2024-08-19,2024-08-20,Unassigned
TCK0450,Critical,Open,Database,System Crash,System Crash reported by user.,2024-12-02,,Mike
TCK0451,High,Resolved,Software,Password Reset,Password Reset reported by user.,2024-03-28,2024-04-06,Ayesha
TCK0452,Critical,Closed,Access,System Crash,System Crash reported by user.,2024-09-03,2024-09-11,Mike
TCK0453,Medium,Open,Hardware,Network Down,Network Down reported by user.,2024-03-06,,Ayesha
TCK0454,Medium,Resolved,Software,Network Down,Network Down reported by user.,2024-07-07,2024-07-11,Mike
TCK0455,Critical,Open,Network,Access Denied,Access Denied reported by user.,2024-01-03,,Fatima
TCK0456,Low,Closed,Access,Slow Performance,Slow Performance reported by user.,2024-02-21,2024-02-25,Mike
TCK0457,High,Resolved,Database,System Crash,System Crash reported by user.,2024-02-06,2024-02-13,Sara
TCK0458,Low,In Progress,Hardware,System Crash,System Crash reported by user.,2024-07-19,,John
TCK0459,High,Resolved,Software,Slow Performance,Slow Performance reported by user.,2024-09-17,2024-09-24,Fatima
TCK0460,Medium,In Progress,Security,Password Reset,Password Reset reported by user.,2024-09-13,,Sara
TCK0461,Medium,Open,Access,Access Denied,Access Denied reported by user.,2024-01-13,,Sara
TCK0462,Low,Closed,Access,Slow Performance,Slow Performance reported by user.,2024-11-20,2024-11-21,Sara
TCK0463,High,Open,Network,Access Denied,Access Denied reported by user.,2024-08-04,,Mike
TCK0464,Medium,Closed,Security,Access Denied,Access Denied reported by user.,2024-04-03,2024-04-08,John
TCK0465,Critical,Resolved,Security,Slow Performance,Slow Performance reported by user.,2024-11-28,2024-12-05,Mike
TCK0466,Low,Open,Hardware,Network Down,Network Down reported by user.,2024-10-20,,John
TCK0467,Critical,Open,Database,Network Down,Network Down reported by user.,2024-02-14,,Mike
TCK0468,Critical,In Progress,Database,Access Denied,Access Denied reported by user.,2024-05-11,,Mike
TCK0469,Critical,Closed,Software,Network Down,Network Down reported by user.,2024-09-22,2024-09-27,Unassigned
TCK0470,High,In Progress,Hardware,Password Reset,Password Reset reported by user.,2024-08-07,,John
TCK0471,High,In Progress,Hardware,Password Reset,Password Reset reported by user.,2024-02-08,,Unassigned
TCK0472,Low,Resolved,Software,Slow Performance,Slow Performance reported by user.,2024-05-24,2024-05-30,Fatima
TCK0473,Critical,In Progress,Security,Network Down,Network Down reported by user.,2024-10-21,,Omar
TCK0474,High,In Progress,Software,Network Down,Network Down reported by user.,2024-06-10,,John
TCK0475,High,Open,Network,Network Down,Network Down reported by user.,2024-12-26,,Sara
TCK0476,Critical,Closed,Network,Login Issue,Login Issue reported by user.,2024-04-05,2024-04-06,Omar
TCK0477,Critical,Open,Hardware,Password Reset,Password Reset reported by user.,2024-12-18,,Fatima
TCK0478,Low,Resolved,Security,Network Down,Network Down reported by user.,2024-03-07,2024-03-11,John
TCK0479,High,Resolved,Database,Network Down,Network Down reported by user.,2024-12-23,2025-01-01,Omar
TCK0480,High,Closed,Hardware,Access Denied,Access Denied reported by user.,2024-09-20,2024-09-27,Mike
TCK0481,Low,Open,Network,Slow Performance,Slow Performance reported by user.,2024-10-17,,Omar
TCK0482,Critical,Closed,Access,Password Reset,Password Reset reported by user.,2024-07-23,2024-07-24,Omar
TCK0483,High,Open,Security,System Crash,System Crash reported by user.,2024-08-06,,John
TCK0484,Medium,Resolved,Network,Password Reset,Password Reset reported by user.,2024-05-01,2024-05-10,Omar
TCK0485,Medium,Closed,Network,System Crash,System Crash reported by user.,2024-03-11,2024-03-19,Unassigned
TCK0486,Medium,In Progress,Database,Login Issue,Login Issue reported by user.,2024-03-22,,Fatima
TCK0487,High,Open,Access,Access Denied,Access Denied reported by user.,2024-12-19,,Unassigned
TCK0488,High,Closed,Network,Network Down,Network Down reported by user.,2024-05-17,2024-05-23,Omar
TCK0489,Medium,Open,Database,Login Issue,Login Issue reported by user.,2024-10-08,,Unassigned
TCK0490,Medium,Resolved,Security,Slow Performance,Slow Performance reported by user.,2024-04-13,2024-04-18,Fatima
TCK0491,Critical,Closed,Hardware,System Crash,System Crash reported by user.,2024-02-06,2024-02-08,Sara
TCK0492,High,In Progress,Software,Access Denied,Access Denied reported by user.,2024-06-24,,Fatima
TCK0493,Critical,Resolved,Hardware,Network Down,Network Down reported by user.,2024-09-08,2024-09-14,Ayesha
TCK0494,Low,Resolved,Database,Login Issue,Login Issue reported by user.,2024-01-16,2024-01-20,Ayesha
TCK0495,Low,Resolved,Hardware,Login Issue,Login Issue reported by user.,2024-08-18,2024-08-28,Sara
TCK0496,Medium,In Progress,Software,System Crash,System Crash reported by user.,2024-08-31,,Ayesha
TCK0497,Low,Open,Network,Slow Performance,Slow Performance reported by user.,2024-07-03,,Mike
TCK0498,Critical,Closed,Security,Password Reset,Password Reset reported by user.,2024-11-18,2024-11-28,Sara
TCK0499,Low,Open,Security,System Crash,System Crash reported by user.,2024-08-05,,Ayesha
TCK0500,Low,Open,Network,System Crash,System Crash reported by user.,2024-08-07,,Omar
TCK0501,Low,In Progress,Network,System Crash,System Crash reported by user.,2024-06-28,,Unassigned
TCK0502,Low,Closed,Network,System Crash,System Crash reported by user.,2024-10-21,2024-10-24,Unassigned
TCK0503,High,Open,Access,Login Issue,Login Issue reported by user.,2024-07-05,,Sara
TCK0504,Critical,Resolved,Database,System Crash,System Crash reported by user.,2024-04-11,2024-04-16,Omar
TCK0505,Low,Open,Security,Network Down,Network Down reported by user.,2024-02-28,,Unassigned
TCK0506,Medium,Closed,Software,Access Denied,Access Denied reported by user.,2024-03-11,2024-03-19,Sara
TCK0507,Low,Resolved,Security,Slow Performance,Slow Performance reported by user.,2024-12-19,2024-12-22,Mike
TCK0508,Critical,Open,Network,System Crash,System Crash reported by user.,2024-12-07,,Ayesha
TCK0509,Low,Resolved,Software,Network Down,Network Down reported by user.,2024-04-12,2024-04-22,Sara
TCK0510,Critical,Open,Security,System Crash,System Crash reported by user.,2024-03-06,,John
TCK0511,Medium,In Progress,Hardware,Access Denied,Access Denied reported by user.,2024-08-12,,Fatima
TCK0512,Medium,In Progress,Database,Slow Performance,Slow Performance reported by user.,2024-09-16,,Sara
TCK0513,High,In Progress,Network,Slow Performance,Slow Performance reported by user.,2024-04-10,,Sara
TCK0514,Critical,Resolved,Software,Network Down,Network Down reported by user.,2024-07-13,2024-07-20,Omar
TCK0515,Critical,Resolved,Security,Password Reset,Password Reset reported by user.,2024-06-09,2024-06-17,Unassigned
TCK0516,Low,Resolved,Network,Login Issue,Login Issue reported by user.,2024-12-20,2024-12-23,Sara
TCK0517,Medium,Closed,Security,Network Down,Network Down reported by user.,2024-12-18,2024-12-27,Fatima
TCK0518,Low,In Progress,Database,Password Reset,Password Reset reported by user.,2024-12-12,,John
TCK0519,Medium,Resolved,Security,Slow Performance,Slow Performance reported by user.,2024-11-08,2024-11-17,Unassigned
TCK0520,High,Closed,Software,Password Reset,Password Reset reported by user.,2024-12-29,2025-01-04,Fatima
TCK0521,Medium,In Progress,Hardware,Access Denied,Access Denied reported by user.,2024-02-08,,Unassigned
TCK0522,High,Open,Software,System Crash,System Crash reported by user.,2024-08-22,,Sara
TCK0523,Medium,Open,Software,Slow Performance,Slow Performance reported by user.,2024-10-11,,Omar
TCK0524,Critical,Closed,Network,Password Reset,Password Reset reported by user.,2024-01-08,2024-01-12,Omar
TCK0525,Critical,Resolved,Database,System Crash,System Crash reported by user.,2024-03-29,2024-04-01,Fatima
TCK0526,Low,Open,Software,System Crash,System Crash reported by user.,2024-07-01,,John
TCK0527,Critical,Open,Database,Access Denied,Access Denied reported by user.,2024-03-27,,Ayesha
TCK0528,Critical,Open,Security,Network Down,Network Down reported by user.,2024-07-09,,John
TCK0529,Critical,Closed,Access,System Crash,System Crash reported by user.,2024-05-06,2024-05-14,Fatima
TCK0530,Critical,Resolved,Database,Password Reset,Password Reset reported by user.,2024-06-20,2024-06-26,Unassigned
TCK0531,Critical,Closed,Security,Password Reset,Password Reset reported by user.,2024-05-15,2024-05-18,Unassigned
TCK0532,Medium,In Progress,Hardware,Network Down,Network Down reported by user.,2024-01-25,,Sara
TCK0533,Critical,Open,Software,Password Reset,Password Reset reported by user.,2024-05-08,,Ayesha
TCK0534,Medium,Open,Network,Password Reset,Password Reset reported by user.,2024-08-15,,Omar
TCK0535,Critical,Closed,Hardware,Login Issue,Login Issue reported by user.,2024-02-03,2024-02-10,Ayesha
TCK0536,Critical,Open,Software,Password Reset,Password Reset reported by user.,2024-06-22,,John
TCK0537,Medium,In Progress,Network,System Crash,System Crash reported by user.,2024-09-29,,Unassigned
TCK0538,Low,Closed,Access,System Crash,System Crash reported by user.,2024-06-11,2024-06-11,John
TCK0539,Medium,Closed,Security,Login Issue,Login Issue reported by user.,2024-07-21,2024-07-27,Sara
TCK0540,Low,Resolved,Software,Login Issue,Login Issue reported by user.,2024-03-28,2024-04-06,Unassigned
TCK0541,Low,Resolved,Database,Password Reset,Password Reset reported by user.,2024-11-21,2024-11-24,Omar
TCK0542,Critical,Resolved,Database,System Crash,System Crash reported by user.,2024-05-14,2024-05-22,Fatima
TCK0543,Medium,Closed,Network,System Crash,System Crash reported by user.,2024-09-26,2024-10-06,Sara
TCK0544,Medium,Open,Access,Access Denied,Access Denied reported by user.,2024-11-02,,Unassigned
TCK0545,High,Resolved,Access,Password Reset,Password Reset reported by user.,2024-11-02,2024-11-04,Omar
TCK0546,High,In Progress,Access,Login Issue,Login Issue reported by user.,2024-03-05,,Fatima
TCK0547,Critical,Resolved,Security,Password Reset,Password Reset reported by user.,2024-03-15,2024-03-18,Mike
TCK0548,Medium,Closed,Database,Network Down,Network Down reported by user.,2024-12-28,2024-12-31,Unassigned
TCK0549,Medium,In Progress,Database,Slow Performance,Slow Performance reported by user.,2024-02-09,,Fatima
TCK0550,High,Resolved,Database,Login Issue,Login Issue reported by user.,2024-06-05,2024-06-13,Sara
TCK0551,Medium,In Progress,Access,Network Down,Network Down reported by user.,2024-01-30,,Ayesha
TCK0552,Medium,Open,Database,Network Down,Network Down reported by user.,2024-09-26,,Sara
TCK0553,Critical,Open,Security,Network Down,Network Down reported by user.,2024-11-01,,Omar
TCK0554,High,Open,Software,System Crash,System Crash reported by user.,2024-12-22,,Mike
TCK0555,Medium,Resolved,Security,Network Down,Network Down reported by user.,2024-07-11,2024-07-18,John
TCK0556,Critical,Resolved,Hardware,Login Issue,Login Issue reported by user.,2024-03-19,2024-03-21,Omar
TCK0557,High,In Progress,Network,Access Denied,Access Denied reported by user.,2024-02-01,,Fatima
TCK0558,Medium,In Progress,Security,Network Down,Network Down reported by user.,2024-05-13,,Mike
TCK0559,Critical,Open,Hardware,Slow Performance,Slow Performance reported by user.,2024-09-25,,John
TCK0560,Medium,Closed,Access,Network Down,Network Down reported by user.,2024-01-08,2024-01-16,Fatima
TCK0561,High,Resolved,Access,Access Denied,Access Denied reported by user.,2024-04-08,2024-04-09,Sara
TCK0562,Critical,Closed,Security,Login Issue,Login Issue reported by user.,2024-03-29,2024-04-07,Sara
TCK0563,Low,Closed,Network,Login Issue,Login Issue reported by user.,2024-10-17,2024-10-23,Omar
TCK0564,Medium,Resolved,Software,Access Denied,Access Denied reported by user.,2024-02-28,2024-03-08,Ayesha
TCK0565,High,Resolved,Network,Login Issue,Login Issue reported by user.,2024-08-26,2024-09-03,Ayesha
TCK0566,Low,Resolved,Database,System Crash,System Crash reported by user.,2024-02-18,2024-02-18,Fatima
TCK0567,High,Resolved,Security,System Crash,System Crash reported by user.,2024-12-10,2024-12-13,Unassigned
TCK0568,Critical,Closed,Network,Slow Performance,Slow Performance reported by user.,2024-08-03,2024-08-11,Mike
TCK0569,Critical,Open,Hardware,System Crash,System Crash reported by user.,2024-05-04,,Mike
